IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.30.250,4,4,0.00,1.37,0.00,N/A
172.65.14.89,4,4,0.00,1.39,0.00,N/A
104.21.90.164,4,4,0.00,1.39,0.00,N/A
104.24.51.205,4,4,0.00,1.42,0.00,N/A
172.65.0.179,4,4,0.00,1.42,0.00,N/A
172.65.111.78,4,4,0.00,1.43,0.00,N/A
172.65.229.43,4,4,0.00,1.46,0.00,N/A
172.67.181.90,4,4,0.00,1.46,0.00,N/A
172.65.108.84,4,4,0.00,1.46,0.00,N/A
172.65.128.177,4,4,0.00,1.47,0.00,N/A
172.65.189.222,4,4,0.00,1.47,0.00,N/A
172.65.155.96,4,4,0.00,1.47,0.00,N/A
172.65.214.126,4,4,0.00,1.47,0.00,N/A
172.64.98.107,4,4,0.00,1.48,0.00,N/A
172.64.50.32,4,4,0.00,1.48,0.00,N/A
172.64.100.147,4,4,0.00,1.49,0.00,N/A
172.65.159.210,4,4,0.00,1.49,0.00,N/A
162.159.157.4,4,4,0.00,1.49,0.00,N/A
172.65.224.111,4,4,0.00,1.50,0.00,N/A
172.65.110.144,4,4,0.00,1.50,0.00,N/A
173.245.59.207,4,4,0.00,1.50,0.00,N/A
172.65.173.31,4,4,0.00,1.50,0.00,N/A
172.65.29.204,4,4,0.00,1.50,0.00,N/A
172.65.156.182,4,4,0.00,1.50,0.00,N/A
104.21.22.239,4,4,0.00,1.51,0.00,N/A
172.65.6.96,4,4,0.00,1.51,0.00,N/A
172.64.153.104,4,4,0.00,1.51,0.00,N/A
172.65.4.44,4,4,0.00,1.51,0.00,N/A
172.65.51.150,4,4,0.00,1.51,0.00,N/A
172.65.13.68,4,4,0.00,1.52,0.00,N/A
172.65.98.202,4,4,0.00,1.52,0.00,N/A
172.65.59.189,4,4,0.00,1.52,0.00,N/A
172.65.222.152,4,4,0.00,1.52,0.00,N/A
172.65.172.52,4,4,0.00,1.52,0.00,N/A
172.65.137.201,4,4,0.00,1.52,0.00,N/A
172.67.200.45,4,4,0.00,1.53,0.00,N/A
172.64.48.36,4,4,0.00,1.53,0.00,N/A
172.65.47.69,4,4,0.00,1.53,0.00,N/A
172.67.248.168,4,4,0.00,1.53,0.00,N/A
172.64.234.124,4,4,0.00,1.53,0.00,N/A
172.65.76.143,4,4,0.00,1.53,0.00,N/A
104.24.85.214,4,4,0.00,1.53,0.00,N/A
172.65.134.123,4,4,0.00,1.53,0.00,N/A
104.21.7.51,4,4,0.00,1.54,0.00,N/A
172.67.110.68,4,4,0.00,1.54,0.00,N/A
172.65.191.24,4,4,0.00,1.54,0.00,N/A
172.65.141.236,4,4,0.00,1.54,0.00,N/A
104.24.74.16,4,4,0.00,1.54,0.00,N/A
172.64.86.4,4,4,0.00,1.54,0.00,N/A
172.65.23.247,4,4,0.00,1.54,0.00,N/A
172.67.246.30,4,4,0.00,1.54,0.00,N/A
172.66.128.235,4,4,0.00,1.54,0.00,N/A
172.64.88.191,4,4,0.00,1.54,0.00,N/A
172.67.105.194,4,4,0.00,1.55,0.00,N/A
172.65.9.63,4,4,0.00,1.55,0.00,N/A
172.67.120.148,4,4,0.00,1.55,0.00,N/A
104.21.39.13,4,4,0.00,1.55,0.00,N/A
172.64.47.195,4,4,0.00,1.55,0.00,N/A
172.65.21.36,4,4,0.00,1.56,0.00,N/A
172.67.107.58,4,4,0.00,1.56,0.00,N/A
172.65.91.231,4,4,0.00,1.56,0.00,N/A
172.64.49.41,4,4,0.00,1.56,0.00,N/A
104.24.30.227,4,4,0.00,1.56,0.00,N/A
172.65.230.61,4,4,0.00,1.56,0.00,N/A
172.65.135.62,4,4,0.00,1.56,0.00,N/A
172.65.177.5,4,4,0.00,1.56,0.00,N/A
172.65.146.226,4,4,0.00,1.56,0.00,N/A
104.24.3.144,4,4,0.00,1.56,0.00,N/A
172.65.219.215,4,4,0.00,1.56,0.00,N/A
172.65.235.52,4,4,0.00,1.57,0.00,N/A
