IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.67.206.97,4,4,0.00,1.57,0.00,N/A
108.162.195.6,4,4,0.00,1.57,0.00,N/A
172.65.205.146,4,4,0.00,1.57,0.00,N/A
172.67.203.154,4,4,0.00,1.57,0.00,N/A
172.67.236.220,4,4,0.00,1.58,0.00,N/A
104.21.6.92,4,4,0.00,1.58,0.00,N/A
172.65.10.18,4,4,0.00,1.58,0.00,N/A
172.65.41.228,4,4,0.00,1.58,0.00,N/A
104.21.92.119,4,4,0.00,1.58,0.00,N/A
172.65.227.244,4,4,0.00,1.58,0.00,N/A
172.65.11.92,4,4,0.00,1.58,0.00,N/A
172.65.45.192,4,4,0.00,1.58,0.00,N/A
172.67.142.167,4,4,0.00,1.59,0.00,N/A
172.65.12.195,4,4,0.00,1.59,0.00,N/A
104.24.70.26,4,4,0.00,1.59,0.00,N/A
172.67.65.34,4,4,0.00,1.59,0.00,N/A
172.64.89.140,4,4,0.00,1.59,0.00,N/A
172.64.91.55,4,4,0.00,1.59,0.00,N/A
172.65.136.87,4,4,0.00,1.60,0.00,N/A
172.67.157.173,4,4,0.00,1.60,0.00,N/A
172.65.100.225,4,4,0.00,1.60,0.00,N/A
172.67.68.71,4,4,0.00,1.61,0.00,N/A
141.101.90.25,4,4,0.00,1.61,0.00,N/A
104.21.83.76,4,4,0.00,1.61,0.00,N/A
172.65.28.150,4,4,0.00,1.61,0.00,N/A
172.65.199.30,4,4,0.00,1.61,0.00,N/A
104.24.84.150,4,4,0.00,1.61,0.00,N/A
172.65.48.223,4,4,0.00,1.61,0.00,N/A
172.64.36.149,4,4,0.00,1.61,0.00,N/A
172.65.160.67,4,4,0.00,1.61,0.00,N/A
172.67.99.241,4,4,0.00,1.61,0.00,N/A
172.65.131.65,4,4,0.00,1.61,0.00,N/A
172.67.113.160,4,4,0.00,1.61,0.00,N/A
172.64.37.7,4,4,0.00,1.61,0.00,N/A
172.65.112.88,4,4,0.00,1.61,0.00,N/A
172.65.249.14,4,4,0.00,1.61,0.00,N/A
172.64.97.176,4,4,0.00,1.61,0.00,N/A
172.67.189.114,4,4,0.00,1.62,0.00,N/A
172.65.15.195,4,4,0.00,1.62,0.00,N/A
172.66.142.222,4,4,0.00,1.62,0.00,N/A
104.21.116.155,4,4,0.00,1.62,0.00,N/A
104.24.26.86,4,4,0.00,1.62,0.00,N/A
172.67.136.143,4,4,0.00,1.62,0.00,N/A
172.67.199.129,4,4,0.00,1.62,0.00,N/A
172.65.20.96,4,4,0.00,1.62,0.00,N/A
104.21.24.146,4,4,0.00,1.63,0.00,N/A
172.67.217.172,4,4,0.00,1.63,0.00,N/A
172.67.127.195,4,4,0.00,1.63,0.00,N/A
104.21.1.85,4,4,0.00,1.63,0.00,N/A
172.65.250.135,4,4,0.00,1.63,0.00,N/A
172.67.116.118,4,4,0.00,1.63,0.00,N/A
104.21.15.249,4,4,0.00,1.63,0.00,N/A
104.21.70.138,4,4,0.00,1.63,0.00,N/A
172.65.87.34,4,4,0.00,1.63,0.00,N/A
172.64.69.117,4,4,0.00,1.63,0.00,N/A
104.21.76.165,4,4,0.00,1.63,0.00,N/A
172.65.52.98,4,4,0.00,1.63,0.00,N/A
172.65.225.217,4,4,0.00,1.64,0.00,N/A
172.65.245.72,4,4,0.00,1.64,0.00,N/A
104.21.35.127,4,4,0.00,1.64,0.00,N/A
172.65.8.132,4,4,0.00,1.64,0.00,N/A
172.65.37.232,4,4,0.00,1.64,0.00,N/A
104.21.96.236,4,4,0.00,1.64,0.00,N/A
104.21.0.122,4,4,0.00,1.64,0.00,N/A
104.21.67.215,4,4,0.00,1.64,0.00,N/A
172.65.94.0,4,4,0.00,1.64,0.00,N/A
172.65.162.126,4,4,0.00,1.64,0.00,N/A
172.67.171.30,4,4,0.00,1.64,0.00,N/A
172.65.132.31,4,4,0.00,1.64,0.00,N/A
172.65.50.190,4,4,0.00,1.64,0.00,N/A
104.21.18.106,4,4,0.00,1.65,0.00,N/A
104.24.19.146,4,4,0.00,1.65,0.00,N/A
172.65.174.126,4,4,0.00,1.65,0.00,N/A
172.65.175.85,4,4,0.00,1.65,0.00,N/A
172.65.44.9,4,4,0.00,1.65,0.00,N/A
198.41.206.209,4,4,0.00,1.65,0.00,N/A
104.21.37.23,4,4,0.00,1.65,0.00,N/A
172.65.164.84,4,4,0.00,1.65,0.00,N/A
172.65.7.72,4,4,0.00,1.65,0.00,N/A
172.65.19.191,4,4,0.00,1.65,0.00,N/A
172.67.172.67,4,4,0.00,1.65,0.00,N/A
104.21.53.203,4,4,0.00,1.65,0.00,N/A
172.65.53.56,4,4,0.00,1.65,0.00,N/A
172.65.183.145,4,4,0.00,1.65,0.00,N/A
162.159.146.41,4,4,0.00,1.65,0.00,N/A
104.21.69.173,4,4,0.00,1.66,0.00,N/A
172.65.192.71,4,4,0.00,1.66,0.00,N/A
198.41.194.113,4,4,0.00,1.66,0.00,N/A
172.67.237.4,4,4,0.00,1.66,0.00,N/A
172.67.190.58,4,4,0.00,1.66,0.00,N/A
104.21.28.42,4,4,0.00,1.66,0.00,N/A
104.21.100.242,4,4,0.00,1.66,0.00,N/A
172.65.95.149,4,4,0.00,1.66,0.00,N/A
104.24.4.48,4,4,0.00,1.66,0.00,N/A
172.64.42.203,4,4,0.00,1.66,0.00,N/A
104.24.71.234,4,4,0.00,1.66,0.00,N/A
172.65.233.76,4,4,0.00,1.66,0.00,N/A
172.67.193.239,4,4,0.00,1.67,0.00,N/A
172.67.148.166,4,4,0.00,1.67,0.00,N/A
172.65.186.163,4,4,0.00,1.67,0.00,N/A
104.24.164.221,4,4,0.00,1.67,0.00,N/A
104.21.85.56,4,4,0.00,1.67,0.00,N/A
104.21.106.148,4,4,0.00,1.67,0.00,N/A
172.67.215.128,4,4,0.00,1.67,0.00,N/A
104.21.127.250,4,4,0.00,1.67,0.00,N/A
172.65.139.54,4,4,0.00,1.67,0.00,N/A
172.67.250.20,4,4,0.00,1.67,0.00,N/A
172.67.122.156,4,4,0.00,1.67,0.00,N/A
172.64.154.32,4,4,0.00,1.67,0.00,N/A
172.65.60.143,4,4,0.00,1.67,0.00,N/A
108.162.198.240,4,4,0.00,1.67,0.00,N/A
172.67.85.118,4,4,0.00,1.67,0.00,N/A
172.65.92.78,4,4,0.00,1.67,0.00,N/A
172.65.32.89,4,4,0.00,1.67,0.00,N/A
162.159.143.163,4,4,0.00,1.68,0.00,N/A
162.159.151.21,4,4,0.00,1.68,0.00,N/A
172.65.180.117,4,4,0.00,1.68,0.00,N/A
172.65.217.163,4,4,0.00,1.68,0.00,N/A
104.24.78.210,4,4,0.00,1.68,0.00,N/A
172.67.238.228,4,4,0.00,1.68,0.00,N/A
104.24.52.172,4,4,0.00,1.68,0.00,N/A
104.27.205.227,4,4,0.00,1.68,0.00,N/A
104.21.111.64,4,4,0.00,1.68,0.00,N/A
172.65.61.8,4,4,0.00,1.68,0.00,N/A
104.21.33.187,4,4,0.00,1.68,0.00,N/A
172.65.169.130,4,4,0.00,1.68,0.00,N/A
172.67.135.174,4,4,0.00,1.68,0.00,N/A
172.66.170.203,4,4,0.00,1.69,0.00,N/A
172.67.95.103,4,4,0.00,1.69,0.00,N/A
172.67.141.0,4,4,0.00,1.69,0.00,N/A
172.65.90.94,4,4,0.00,1.69,0.00,N/A
172.67.188.122,4,4,0.00,1.69,0.00,N/A
172.65.39.53,4,4,0.00,1.69,0.00,N/A
162.159.150.56,4,4,0.00,1.69,0.00,N/A
172.64.74.162,4,4,0.00,1.69,0.00,N/A
172.65.220.158,4,4,0.00,1.69,0.00,N/A
172.67.77.142,4,4,0.00,1.69,0.00,N/A
172.65.55.194,4,4,0.00,1.69,0.00,N/A
104.21.12.125,4,4,0.00,1.69,0.00,N/A
172.65.240.95,4,4,0.00,1.69,0.00,N/A
172.67.235.215,4,4,0.00,1.69,0.00,N/A
104.21.89.47,4,4,0.00,1.70,0.00,N/A
172.65.84.93,4,4,0.00,1.70,0.00,N/A
172.65.170.195,4,4,0.00,1.70,0.00,N/A
172.65.17.166,4,4,0.00,1.70,0.00,N/A
104.21.122.5,4,4,0.00,1.70,0.00,N/A
162.159.149.70,4,4,0.00,1.70,0.00,N/A
172.67.86.68,4,4,0.00,1.70,0.00,N/A
172.67.176.72,4,4,0.00,1.70,0.00,N/A
172.65.181.68,4,4,0.00,1.70,0.00,N/A
172.65.236.7,4,4,0.00,1.70,0.00,N/A
172.66.169.13,4,4,0.00,1.70,0.00,N/A
104.21.71.215,4,4,0.00,1.70,0.00,N/A
172.65.241.144,4,4,0.00,1.70,0.00,N/A
172.65.49.153,4,4,0.00,1.70,0.00,N/A
172.65.226.29,4,4,0.00,1.70,0.00,N/A
172.65.38.63,4,4,0.00,1.70,0.00,N/A
172.66.215.49,4,4,0.00,1.70,0.00,N/A
172.65.115.94,4,4,0.00,1.70,0.00,N/A
104.27.193.172,4,4,0.00,1.70,0.00,N/A
162.159.57.5,4,4,0.00,1.70,0.00,N/A
104.21.46.18,4,4,0.00,1.70,0.00,N/A
172.65.140.93,4,4,0.00,1.70,0.00,N/A
172.65.152.122,4,4,0.00,1.70,0.00,N/A
172.65.113.15,4,4,0.00,1.70,0.00,N/A
104.21.73.106,4,4,0.00,1.71,0.00,N/A
162.159.94.99,4,4,0.00,1.71,0.00,N/A
172.65.228.182,4,4,0.00,1.71,0.00,N/A
172.65.66.108,4,4,0.00,1.71,0.00,N/A
104.21.78.199,4,4,0.00,1.71,0.00,N/A
104.21.23.69,4,4,0.00,1.71,0.00,N/A
104.24.82.71,4,4,0.00,1.71,0.00,N/A
172.65.178.243,4,4,0.00,1.71,0.00,N/A
172.67.115.56,4,4,0.00,1.71,0.00,N/A
172.67.117.131,4,4,0.00,1.71,0.00,N/A
172.67.167.111,4,4,0.00,1.71,0.00,N/A
172.65.103.193,4,4,0.00,1.72,0.00,N/A
104.24.9.239,4,4,0.00,1.72,0.00,N/A
104.24.83.41,4,4,0.00,1.72,0.00,N/A
172.67.204.158,4,4,0.00,1.72,0.00,N/A
172.66.42.75,4,4,0.00,1.72,0.00,N/A
172.65.88.96,4,4,0.00,1.72,0.00,N/A
104.24.18.222,4,4,0.00,1.72,0.00,N/A
104.27.195.159,4,4,0.00,1.72,0.00,N/A
172.65.166.208,4,4,0.00,1.72,0.00,N/A
172.65.89.66,4,4,0.00,1.72,0.00,N/A
162.159.92.130,4,4,0.00,1.72,0.00,N/A
172.65.171.42,4,4,0.00,1.72,0.00,N/A
104.24.55.220,4,4,0.00,1.73,0.00,N/A
172.65.36.108,4,4,0.00,1.73,0.00,N/A
172.65.182.181,4,4,0.00,1.73,0.00,N/A
172.67.174.142,4,4,0.00,1.73,0.00,N/A
172.65.42.23,4,4,0.00,1.73,0.00,N/A
104.24.29.217,4,4,0.00,1.73,0.00,N/A
172.65.143.210,4,4,0.00,1.73,0.00,N/A
172.65.82.50,4,4,0.00,1.73,0.00,N/A
172.65.187.149,4,4,0.00,1.73,0.00,N/A
172.65.196.22,4,4,0.00,1.73,0.00,N/A
172.65.161.222,4,4,0.00,1.73,0.00,N/A
104.24.89.64,4,4,0.00,1.73,0.00,N/A
172.65.239.126,4,4,0.00,1.73,0.00,N/A
198.41.216.127,4,4,0.00,1.73,0.00,N/A
172.65.211.157,4,4,0.00,1.73,0.00,N/A
172.65.204.176,4,4,0.00,1.73,0.00,N/A
172.65.58.160,4,4,0.00,1.73,0.00,N/A
172.67.162.21,4,4,0.00,1.73,0.00,N/A
104.27.194.254,4,4,0.00,1.74,0.00,N/A
198.41.192.53,4,4,0.00,1.74,0.00,N/A
104.24.28.81,4,4,0.00,1.74,0.00,N/A
198.41.213.84,4,4,0.00,1.74,0.00,N/A
172.65.163.161,4,4,0.00,1.74,0.00,N/A
172.64.33.9,4,4,0.00,1.74,0.00,N/A
172.65.119.123,4,4,0.00,1.74,0.00,N/A
104.24.12.181,4,4,0.00,1.74,0.00,N/A
104.21.110.26,4,4,0.00,1.74,0.00,N/A
172.67.229.161,4,4,0.00,1.74,0.00,N/A
172.67.240.246,4,4,0.00,1.74,0.00,N/A
104.21.31.212,4,4,0.00,1.74,0.00,N/A
172.67.143.154,4,4,0.00,1.75,0.00,N/A
172.65.118.129,4,4,0.00,1.75,0.00,N/A
172.65.116.252,4,4,0.00,1.75,0.00,N/A
172.65.197.151,4,4,0.00,1.75,0.00,N/A
172.65.238.164,4,4,0.00,1.75,0.00,N/A
104.27.200.58,4,4,0.00,1.75,0.00,N/A
162.159.148.238,4,4,0.00,1.75,0.00,N/A
172.67.69.130,4,4,0.00,1.75,0.00,N/A
172.67.131.25,4,4,0.00,1.75,0.00,N/A
104.24.31.138,4,4,0.00,1.75,0.00,N/A
104.21.14.4,4,4,0.00,1.75,0.00,N/A
104.21.38.42,4,4,0.00,1.75,0.00,N/A
172.65.5.124,4,4,0.00,1.75,0.00,N/A
172.64.93.222,4,4,0.00,1.75,0.00,N/A
172.65.125.18,4,4,0.00,1.75,0.00,N/A
172.64.231.1,4,4,0.00,1.76,0.00,N/A
172.65.33.188,4,4,0.00,1.76,0.00,N/A
172.67.124.160,4,4,0.00,1.76,0.00,N/A
172.67.178.94,4,4,0.00,1.76,0.00,N/A
172.64.38.133,4,4,0.00,1.76,0.00,N/A
104.24.69.223,4,4,0.00,1.76,0.00,N/A
188.114.97.206,4,4,0.00,1.76,0.00,N/A
172.65.34.187,4,4,0.00,1.76,0.00,N/A
172.65.129.45,4,4,0.00,1.76,0.00,N/A
172.67.139.171,4,4,0.00,1.76,0.00,N/A
172.65.46.249,4,4,0.00,1.76,0.00,N/A
104.21.112.108,4,4,0.00,1.76,0.00,N/A
172.67.239.221,4,4,0.00,1.76,0.00,N/A
172.67.100.18,4,4,0.00,1.76,0.00,N/A
172.67.186.245,4,4,0.00,1.76,0.00,N/A
172.65.188.134,4,4,0.00,1.76,0.00,N/A
104.21.4.62,4,4,0.00,1.76,0.00,N/A
104.21.74.82,4,4,0.00,1.76,0.00,N/A
162.159.82.120,4,4,0.00,1.76,0.00,N/A
104.24.10.61,4,4,0.00,1.76,0.00,N/A
104.21.21.145,4,4,0.00,1.76,0.00,N/A
198.41.193.106,4,4,0.00,1.76,0.00,N/A
172.65.145.143,4,4,0.00,1.76,0.00,N/A
172.64.67.161,4,4,0.00,1.76,0.00,N/A
172.65.148.218,4,4,0.00,1.76,0.00,N/A
104.24.54.197,4,4,0.00,1.76,0.00,N/A
104.27.207.114,4,4,0.00,1.76,0.00,N/A
172.65.209.158,4,4,0.00,1.77,0.00,N/A
172.67.154.184,4,4,0.00,1.77,0.00,N/A
172.65.127.12,4,4,0.00,1.77,0.00,N/A
172.67.106.234,4,4,0.00,1.77,0.00,N/A
172.65.124.143,4,4,0.00,1.77,0.00,N/A
172.65.201.142,4,4,0.00,1.77,0.00,N/A
104.27.201.108,4,4,0.00,1.77,0.00,N/A
172.67.128.242,4,4,0.00,1.77,0.00,N/A
172.67.98.234,4,4,0.00,1.77,0.00,N/A
104.21.49.127,4,4,0.00,1.77,0.00,N/A
172.67.81.199,4,4,0.00,1.77,0.00,N/A
104.21.79.181,4,4,0.00,1.77,0.00,N/A
172.67.159.75,4,4,0.00,1.77,0.00,N/A
162.159.27.111,4,4,0.00,1.77,0.00,N/A
172.67.71.73,4,4,0.00,1.77,0.00,N/A
104.21.75.28,4,4,0.00,1.77,0.00,N/A
172.67.118.162,4,4,0.00,1.78,0.00,N/A
172.67.93.243,4,4,0.00,1.78,0.00,N/A
172.67.254.66,4,4,0.00,1.78,0.00,N/A
104.21.223.20,4,4,0.00,1.78,0.00,N/A
172.65.35.167,4,4,0.00,1.78,0.00,N/A
172.67.144.24,4,4,0.00,1.78,0.00,N/A
172.67.187.154,4,4,0.00,1.78,0.00,N/A
104.21.45.36,4,4,0.00,1.78,0.00,N/A
172.65.57.108,4,4,0.00,1.78,0.00,N/A
104.24.41.35,4,4,0.00,1.78,0.00,N/A
172.65.184.113,4,4,0.00,1.78,0.00,N/A
141.101.122.215,4,4,0.00,1.78,0.00,N/A
162.159.56.105,4,4,0.00,1.78,0.00,N/A
104.21.52.53,4,4,0.00,1.78,0.00,N/A
172.65.157.36,4,4,0.00,1.78,0.00,N/A
172.67.96.153,4,4,0.00,1.78,0.00,N/A
198.41.196.43,4,4,0.00,1.78,0.00,N/A
172.65.149.110,4,4,0.00,1.78,0.00,N/A
104.24.2.195,4,4,0.00,1.78,0.00,N/A
172.65.237.204,4,4,0.00,1.78,0.00,N/A
172.66.2.245,4,4,0.00,1.78,0.00,N/A
172.64.230.253,4,4,0.00,1.78,0.00,N/A
172.64.229.101,4,4,0.00,1.78,0.00,N/A
172.65.179.8,4,4,0.00,1.79,0.00,N/A
172.65.154.18,4,4,0.00,1.79,0.00,N/A
162.159.26.249,4,4,0.00,1.79,0.00,N/A
172.65.56.4,4,4,0.00,1.79,0.00,N/A
172.65.223.238,4,4,0.00,1.79,0.00,N/A
162.159.1.103,4,4,0.00,1.79,0.00,N/A
104.21.80.41,4,4,0.00,1.79,0.00,N/A
104.24.11.11,4,4,0.00,1.79,0.00,N/A
104.21.25.216,4,4,0.00,1.79,0.00,N/A
104.21.10.84,4,4,0.00,1.79,0.00,N/A
104.21.103.230,4,4,0.00,1.79,0.00,N/A
162.159.153.61,4,4,0.00,1.79,0.00,N/A
108.162.196.180,4,4,0.00,1.79,0.00,N/A
104.24.61.34,4,4,0.00,1.79,0.00,N/A
104.24.56.114,4,4,0.00,1.79,0.00,N/A
172.67.241.245,4,4,0.00,1.80,0.00,N/A
104.21.86.147,4,4,0.00,1.80,0.00,N/A
104.21.84.117,4,4,0.00,1.80,0.00,N/A
172.67.67.33,4,4,0.00,1.80,0.00,N/A
172.66.217.62,4,4,0.00,1.80,0.00,N/A
172.65.43.233,4,4,0.00,1.80,0.00,N/A
104.24.64.100,4,4,0.00,1.80,0.00,N/A
104.24.24.32,4,4,0.00,1.80,0.00,N/A
172.65.218.174,4,4,0.00,1.80,0.00,N/A
104.24.7.56,4,4,0.00,1.80,0.00,N/A
104.24.77.160,4,4,0.00,1.80,0.00,N/A
172.67.184.163,4,4,0.00,1.80,0.00,N/A
172.65.16.88,4,4,0.00,1.80,0.00,N/A
104.21.87.84,4,4,0.00,1.80,0.00,N/A
103.31.4.226,4,4,0.00,1.80,0.00,N/A
172.65.215.135,4,4,0.00,1.80,0.00,N/A
172.67.221.88,4,4,0.00,1.80,0.00,N/A
172.65.198.26,4,4,0.00,1.80,0.00,N/A
172.64.34.66,4,4,0.00,1.81,0.00,N/A
172.65.22.244,4,4,0.00,1.81,0.00,N/A
172.65.244.75,4,4,0.00,1.81,0.00,N/A
172.65.27.130,4,4,0.00,1.81,0.00,N/A
104.21.17.180,4,4,0.00,1.81,0.00,N/A
172.65.62.98,4,4,0.00,1.81,0.00,N/A
172.65.25.196,4,4,0.00,1.81,0.00,N/A
172.66.212.165,4,4,0.00,1.81,0.00,N/A
172.65.147.21,4,4,0.00,1.81,0.00,N/A
104.24.66.151,4,4,0.00,1.81,0.00,N/A
172.65.24.16,4,4,0.00,1.81,0.00,N/A
172.65.121.210,4,4,0.00,1.81,0.00,N/A
172.67.145.43,4,4,0.00,1.81,0.00,N/A
172.67.185.242,4,4,0.00,1.81,0.00,N/A
172.66.149.29,4,4,0.00,1.81,0.00,N/A
162.159.58.195,4,4,0.00,1.82,0.00,N/A
104.27.202.63,4,4,0.00,1.82,0.00,N/A
104.21.125.23,4,4,0.00,1.82,0.00,N/A
172.66.156.194,4,4,0.00,1.82,0.00,N/A
172.65.213.181,4,4,0.00,1.82,0.00,N/A
172.64.96.102,4,4,0.00,1.82,0.00,N/A
104.21.72.102,4,4,0.00,1.82,0.00,N/A
104.24.91.116,4,4,0.00,1.82,0.00,N/A
104.24.67.218,4,4,0.00,1.82,0.00,N/A
104.27.206.37,4,4,0.00,1.82,0.00,N/A
162.159.25.153,4,4,0.00,1.82,0.00,N/A
104.21.114.6,4,4,0.00,1.82,0.00,N/A
172.64.53.125,4,4,0.00,1.82,0.00,N/A
104.21.88.40,4,4,0.00,1.82,0.00,N/A
172.67.132.37,4,4,0.00,1.82,0.00,N/A
172.65.80.125,4,4,0.00,1.82,0.00,N/A
172.64.77.109,4,4,0.00,1.82,0.00,N/A
104.24.73.234,4,4,0.00,1.82,0.00,N/A
172.67.232.122,4,4,0.00,1.82,0.00,N/A
172.67.70.170,4,4,0.00,1.82,0.00,N/A
172.66.205.202,4,4,0.00,1.82,0.00,N/A
172.67.175.134,4,4,0.00,1.82,0.00,N/A
162.159.45.130,4,4,0.00,1.82,0.00,N/A
172.67.78.3,4,4,0.00,1.83,0.00,N/A
172.65.216.56,4,4,0.00,1.83,0.00,N/A
162.159.81.14,4,4,0.00,1.83,0.00,N/A
162.159.6.92,4,4,0.00,1.83,0.00,N/A
162.159.154.122,4,4,0.00,1.83,0.00,N/A
104.24.38.216,4,4,0.00,1.83,0.00,N/A
172.67.75.45,4,4,0.00,1.83,0.00,N/A
172.66.134.152,4,4,0.00,1.83,0.00,N/A
104.21.55.227,4,4,0.00,1.83,0.00,N/A
108.162.193.35,4,4,0.00,1.83,0.00,N/A
172.65.97.109,4,4,0.00,1.83,0.00,N/A
172.67.125.13,4,4,0.00,1.83,0.00,N/A
172.64.75.194,4,4,0.00,1.83,0.00,N/A
104.21.27.107,4,4,0.00,1.83,0.00,N/A
141.101.120.192,4,4,0.00,1.83,0.00,N/A
104.21.42.188,4,4,0.00,1.83,0.00,N/A
198.41.205.159,4,4,0.00,1.83,0.00,N/A
172.67.90.158,4,4,0.00,1.83,0.00,N/A
172.67.158.102,4,4,0.00,1.83,0.00,N/A
162.159.60.174,4,4,0.00,1.83,0.00,N/A
172.65.117.147,4,4,0.00,1.83,0.00,N/A
198.41.203.8,4,4,0.00,1.83,0.00,N/A
172.64.46.204,4,4,0.00,1.83,0.00,N/A
104.21.16.235,4,4,0.00,1.83,0.00,N/A
104.27.196.13,4,4,0.00,1.83,0.00,N/A
172.66.133.131,4,4,0.00,1.84,0.00,N/A
104.21.60.218,4,4,0.00,1.84,0.00,N/A
104.24.50.65,4,4,0.00,1.84,0.00,N/A
172.64.94.232,4,4,0.00,1.84,0.00,N/A
104.24.37.210,4,4,0.00,1.84,0.00,N/A
172.67.129.73,4,4,0.00,1.84,0.00,N/A
172.67.218.69,4,4,0.00,1.84,0.00,N/A
172.66.177.203,4,4,0.00,1.84,0.00,N/A
172.66.3.181,4,4,0.00,1.84,0.00,N/A
104.24.68.103,4,4,0.00,1.84,0.00,N/A
172.64.68.158,4,4,0.00,1.84,0.00,N/A
104.24.17.38,4,4,0.00,1.84,0.00,N/A
172.64.232.215,4,4,0.00,1.84,0.00,N/A
104.21.29.26,4,4,0.00,1.84,0.00,N/A
172.65.54.32,4,4,0.00,1.84,0.00,N/A
104.27.203.202,4,4,0.00,1.84,0.00,N/A
104.24.27.145,4,4,0.00,1.84,0.00,N/A
104.27.197.42,4,4,0.00,1.84,0.00,N/A
172.64.155.53,4,4,0.00,1.84,0.00,N/A
172.67.226.134,4,4,0.00,1.84,0.00,N/A
172.67.160.201,4,4,0.00,1.84,0.00,N/A
172.67.165.110,4,4,0.00,1.84,0.00,N/A
104.24.133.127,4,4,0.00,1.84,0.00,N/A
104.24.80.201,4,4,0.00,1.84,0.00,N/A
104.21.26.38,4,4,0.00,1.84,0.00,N/A
198.41.207.1,4,4,0.00,1.84,0.00,N/A
172.64.150.2,4,4,0.00,1.84,0.00,N/A
172.65.101.67,4,4,0.00,1.85,0.00,N/A
162.159.158.32,4,4,0.00,1.85,0.00,N/A
172.67.243.39,4,4,0.00,1.85,0.00,N/A
172.67.253.98,4,4,0.00,1.85,0.00,N/A
104.24.95.59,4,4,0.00,1.85,0.00,N/A
